,identifier,title,creator,date_created,date_issued,depositor,box,folder,type_of_resource,genre
75,31735068355134,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1963-04/05,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
76,31735061539668,"The Communists and the Liberation of Europe, By Maxine Levi,",,1945-03,,University of Pittsburgh,7,33,text,archival document
77,31735061537886,"Little Brothers of the Big Labor Fakers, By William Z. Foster",,,,University of Pittsburgh,6,43,text,archival document
78,31735061543710,"""Value, Price and Profit"", By Karl Marx",,,,University of Pittsburgh,10,83,text,archival document
79,31735061537670,"A Scene in Phoenix when Naff was Leader of Movement,",,1936-04-25,,University of Pittsburgh,4,164,still image,archival document
80,31735061659979,"""How Can We Share the Wealth?"", The Communist Way Versus Huey Long, By Alex Bittelman,",,1935-04,,University of Pittsburgh,3,13,text,archival document
81,31735061543975,"""Your Vote Can Stop the War in Korea Now!"" Pamphlet",,,,University of Pittsburgh,14,49,text,archival document
82,31735060483074,The Truth About Columbia Tennessee Cases,,,,University of Pittsburgh,1,3,text,archival document
83,31735061544643,"""Problems of Peace"" Flyer",,,,University of Pittsburgh,11,172,text,archival document
84,31735070075415,"Political action; Political action (Milwaukee, Wis.)",,,1912-11-02,University of Pittsburgh,,,text; text,newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers; newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers
85,31735058194402,"""We Propose this Program of Peace and Abundance for the People of North Carolina"" Pamphlet,",,1948,,University of Pittsburgh,10,20,text,archival document
86,31735066228432,"Why We Defend the Soviet Union, by Albert Goldman",,,,University of Pittsburgh,11,109,text,archival document
87,31735051654964,"People Against Rizzo Newsletter,",,1971,,University of Pittsburgh,14,34,text,archival document
88,31735066227814,"On the Struggle for Peace and Freedom, by Benjamin J. Davis, Jr.",,,,University of Pittsburgh,1,81,text,archival document
89,31735047449024,"Tipple Talk: A Newsletter of the Coal Miners Research Association,",,1980-12,,University of Pittsburgh,37,59,text,archival document
90,31735047451467,"March on Harrisburg Flyer,",,,,University of Pittsburgh,,155,text,archival document
91,31735061537779,"""Pattern for American Fascism"", By John L. Spivak,",,1947-09,,University of Pittsburgh,4,66,text,archival document
92,31735070072628,"Political action; Political action (Milwaukee, Wis.)",,,1911-07-22,University of Pittsburgh,,,text; text,newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers; newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers
93,31735051655268,"""The Program of Class Struggle Co-operation"" Pamphlet,",,1931,,University of Pittsburgh,13,60,text,archival document
94,31735047450261,"""What's a Mugwump?"" Flyer",,,,University of Pittsburgh,37,9,text,archival document
95,31735061659870,"""Peace or War, The People against the Warmakers!"", By Eugene Dennis,",,1946-05,,University of Pittsburgh,3,36,text,archival document
96,31735061544171,"""From Reform to Bayonets"", By Arnold Petersen,",,1947-05,,University of Pittsburgh,10,50,text,archival document
97,31735061544031,"""Sit-Down"", By Joel Seidman, and ""A G.M. Stockholder Visits Flint"", By Robert Morss Lovett,",,1937-03,,University of Pittsburgh,10,73,text,archival document
98,31735066228879,"""Le Front Populaire C'est la Guerre"",",,1937-06,,University of Pittsburgh,7,69,text,archival document
99,31735070057330,"Political action; Political action (Milwaukee, Wis.)",,,1911-12-30,University of Pittsburgh,,,text; text,newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers; newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers
100,31735070075266,"Political action; Political action (Milwaukee, Wis.)",,,1912-07-20,University of Pittsburgh,,,text; text,newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers; newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers
101,31735065151056,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1954-11-22,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
102,31735051655581,"Women for Peace Letter,",,1972-04-21,,University of Pittsburgh,14,84,text,archival document
103,31735061540807,"""Synthesis is our Only Possibility"", By Bob Dickens",,,,University of Pittsburgh,8,54,text,archival document
