,identifier,title,creator,date_created,date_issued,depositor,box,folder,type_of_resource,genre
386,31735061657890,"Who's Unamerican!,",,1947-07,,University of Pittsburgh,2,95,text,archival document
387,31735067913321,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1967-05,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
388,31735066227780,"Black Coal Miners in the United States, by Paul Nyden",,,,University of Pittsburgh,1,57,text,archival document
389,31735061537977,"Ahjo (The Forge), Tieteellis-kaunokirjallinen Julkaisu,",,1918-09,,University of Pittsburgh,5,16,text,archival document
390,31735061538736,"For World Peace and Freedom, A Survey of the Twenty-Five Years of Soviet International Policy, By Alexander A. Troyanovsky",,,,University of Pittsburgh,6,103,text,archival document
391,31735061656207,Eldon Ave. Revolutionary Union Movement Pamphlets (2),,,,University of Pittsburgh,1,87,text,archival document
392,31735059397764,"""Meet the Communists"",",,1943,,University of Pittsburgh,4,93,text,archival document
393,31735066228952,"""Burning Cards and Flaming Villages"", By James E. Jackson",,,,University of Pittsburgh,7,2,text,archival document
394,31735061543884,"""Convict 9653, America's Vision Maker"", Story of Eugene Victor Debs, the United States' Great Socialist Anti-Militarist, By Guy A. Aldred",,,,University of Pittsburgh,10,97,text,archival document
395,31735061537712,"Some of the Eleven Communists Who Surrendered at Old Bailey and Were on Trial for Conspiracy,",,1925-12-01,,University of Pittsburgh,4,168,still image,archival document
396,31735059397590,"""We saw Spain"" IWO meeting flyer,",,1936,,University of Pittsburgh,5,83,text,archival document
397,31735061659045,"""The American Way to Jobs, Peace, and Democracy"", Draft Program of the Communist Party,",,1954-03,,University of Pittsburgh,4,41,text,archival document
398,31735047450832,"""Could you call THIS 'a great union'?""",,,,University of Pittsburgh,37,85,text,archival document
399,31735061657999,"""Economic Questions, Commentary""",,1952,,University of Pittsburgh,4,109,text,archival document
400,31735061544080,"The Socialist Appeal,",,1935-08/1935-09,,University of Pittsburgh,10,105,text,archival document
401,31735061539866,"""The People's Party"" Flyer",,,,University of Pittsburgh,7,109,text,archival document
402,31735061586859,"Punchin' Out with the Mill Hunk Herald,",,1980-07/1980-09,,University of Pittsburgh,6,71,text,archival document
403,31735061537688,"A Communist Dropped Over a Car's Fender,",,1931-02-11,,University of Pittsburgh,4,148,still image,archival document
404,31735061540641,Flyer for Pittsburgh Consumer Party's Bastille Day Celebration,,,,University of Pittsburgh,1,202,text,archival document
405,31735061540427,"The Road to Liberation for the Negro People,",,1937-09,,University of Pittsburgh,1,28,text,archival document
406,31735061538215,"""Foreign-Born Americans and the War""",,,,University of Pittsburgh,5,3,text,archival document
407,31735059397020,"Why Negroes Should oppose the War Pamphlet,",,1940,,University of Pittsburgh,1,111,text,archival document
408,31735070075233,"Political action; Political action (Milwaukee, Wis.)",,,1912-06-29,University of Pittsburgh,,,text; text,newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers; newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers
409,31735061544064,"Three Letters to Sections and Members of the S.L.P.,",,,,University of Pittsburgh,10,46,text,archival document
410,31735060482233,October 14 March and Rally Against the War,,,,University of Pittsburgh,14,82,text,archival document
411,31735047449131,"CIO Political Action Committee ""What is PAC?"" Flyer,",,1948,,University of Pittsburgh,37,20,text,archival document
412,31735061658195,"""The Rankin Witch Hunt"", By William Z. Foster,",,1945-12,,University of Pittsburgh,3,112,text,archival document
413,31735061657122,Scholar and School- New Targets for Bigotry,,,,University of Pittsburgh,2,73,text,archival document
414,31735047451715,"""Pittsburgh Socialist Alternative: The Struggle For $15/Hour"" Flyer,",,,,University of Pittsburgh,38,15,text,archival document
415,31735061539882,"Flyer for WSP's Annual Spring Meeting,",,1964,,University of Pittsburgh,12,17,text,archival document
416,31735067913131,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1965-07,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
417,31735061655571,"""Negroes Beaten in Grenada School Integration"" New York Times article,",,,,University of Pittsburgh,1,23,text,archival document
418,31735060481839,Constitution of the United People's Church,,,,University of Pittsburgh,1,193,text,archival document
419,31735061539320,"""The Crisis in India"", By James S. Allen,",,1942-09,,University of Pittsburgh,7,81,text,archival document
420,31735061540559,"""Era Walk '80"" Flyer,",,1980-10-18,,University of Pittsburgh,8,72,text,archival document
421,31735059397574,"""John Zingaro ...a Consumer voice on City Council"" Flyer,",,1980,,University of Pittsburgh,1,198,text,archival document
422,31735061656017,"""Theoretical Aspects of the Negro Question in the United States""",,,,University of Pittsburgh,1,34,text,archival document
423,31735066227764,American Negro Problems,,,,University of Pittsburgh,1,49,text,archival document
424,31735061657874,"Photograph of Communists and Unemployed, Carrying Huge Placards Calling for Work or Wages",,,,University of Pittsburgh,4,127,text,archival document
425,31735061540104,"""Don Duncan Speaks Out""",,,,University of Pittsburgh,12,69,text,archival document
426,31735060482902,"On to Miami! GOP National Convention Protest Flyer,",,1968-08-20/1968-08-23,,University of Pittsburgh,14,95,text,archival document
427,31735059397129,"""For Immediate Release"" memo,",,1970-10-15,,University of Pittsburgh,1,119,text,archival document
428,31735059397780,"""Who Are the Young Pioneers"" Martha Campion,",,1943-10,,University of Pittsburgh,4,92,text,archival document
429,31735061537993,"Guaranteed Annual Wage, By Wyndham Mortimer,",,1953-11-20,,University of Pittsburgh,6,26,text,archival document
430,31735067911358,"Union; Sindicato; Mine-mill union; Union (Denver, Colo. : 1942)",,,1951-03-12,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals
431,31735061657718,"Puerto Rico- 'Island Paradise' of U.S. Imperialism, by Patricia Bell,",,1967-02,,University of Pittsburgh,2,134,text,archival document
432,31735066228648,"""The Appeal Almanac and Arsenal of Facts for 1917"",",,1917,,University of Pittsburgh,10,75,text,archival document
433,31735061537498,"""Call to 16th National Convention Communist Party, U.S.A."", February 9-12, 1957",,,,University of Pittsburgh,4,57,text,archival document
434,31735061540450,"""He Thinks Right""",,,,University of Pittsburgh,10,27,text,archival document
435,31735061657296,"The Bill of Rights in Danger!, by Robert W. Dunn,",,1940-01,,University of Pittsburgh,2,19,text,archival document
436,31735061658047,Acceptance Speeches,,,,University of Pittsburgh,2,157,text,archival document
437,31735061656801,"The Melish Case, Challenge to the Church,",,1949,,University of Pittsburgh,1,185,text,archival document
438,31735060482548,"""Knock on Any Door!"", Progressive Party",,,,University of Pittsburgh,14,47,text,archival document
439,31735060481870,Leaflets for Student Strike at Franklin High School,,,,University of Pittsburgh,13,56,text,archival document
440,31735061544684,"""The Cuban Crisis and It's Aftermath"" Flyer",,,,University of Pittsburgh,11,169,text,archival document
441,31735061543744,"""Socialist Album"",",,1896,,University of Pittsburgh,10,59,text,archival document
442,31735047451392,"Labor Committee for Safe Energy & Full Employment,",,,,University of Pittsburgh,,148,text,archival document
443,31735067911382,"Union; Sindicato; Mine-mill union; Union (Denver, Colo. : 1942)",,,1951-01-15,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals
444,31735061539858,"""Formosa"", Fact and Fiction, By John W. Powell",,,,University of Pittsburgh,7,85,text,archival document
445,31735061586867,"Punchin' Out with the Mill Hunk Herald,",,1980-04/1980-06,,University of Pittsburgh,6,70,text,archival document
446,31735051656068,"IWO Duplicate Membership Form,",,1939,,University of Pittsburgh,13,84,text,archival document
447,31735061656157,"Behind the Florida Bombings, Who Killed NAACP Leader Harry T. Moore and his wife?, by Joseph North,",,1952-02,,University of Pittsburgh,1,60,text,archival document
448,31735061658328,"""Stool-Pigeon"", By Elizabeth Gurley Flynn,",,1949-07,,University of Pittsburgh,3,120,text,archival document
449,31735059397434,"The Student Advocate,",,1936-03,,University of Pittsburgh,4,98,text,archival document
450,31735061656330,Frum Pamphlet,,,,University of Pittsburgh,1,91,text,archival document
451,31735061540419,"Flyer Discussing Police Brutality in Detroit,",,1948,,University of Pittsburgh,10,28,text,archival document
452,31735061659748,"""Passage to Progress"", The '64 Election Mandate and the Road Ahead,",,1964-12,,University of Pittsburgh,3,23,text,archival document
453,31735061657536,"""Rules and Procedures for the Walk for the Bill of Rights"" Flyer",,,,University of Pittsburgh,2,86,text,archival document
454,31735061539007,"Kentucky Miners Fight, By Harry Gannes,",,1932,,University of Pittsburgh,6,48,text,archival document
455,31735061539734,"""Hands-Off Guatemala!""",,,,University of Pittsburgh,7,82,text,archival document
456,31735068355068,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1963-12,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
457,31735061657205,"In the Shadow of Liberty, The Inhumanity of the Walter- McCarran Law, by Abner Green,",,1954-09,,University of Pittsburgh,2,75,text,archival document
458,31735061540583,"""Strike"" Pamphlet",,,,University of Pittsburgh,8,85,text,archival document
459,31735061538132,"""1944...Crucial Year, The Need of Dynamic Unity in the Immigrant Groups, Two Addresses by Louis Adamic""",,,,University of Pittsburgh,5,6,text,archival document
460,31735070075373,"Political action; Political action (Milwaukee, Wis.)",,,1912-10-05,University of Pittsburgh,,,text; text,newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers; newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers
461,31735059397160,"""Let the People Vote on War!"" Pamphlet,",,1938,,University of Pittsburgh,11,88,text,archival document
462,31735061538355,"Women on Guard, How the Women of the World Fight for Peace, By Betty Millard,",,1952-02,,University of Pittsburgh,6,8,text,archival document
463,31735061656892,"Democracy, Civil Rights and Liberty in Connecticut, by Daniel Howard,",,1958,,University of Pittsburgh,2,3,text,archival document
464,31735061659672,"""New Program of the Communist Party USA"", The People versus Corporate Power,",,1982-01,,University of Pittsburgh,3,146,text,archival document
465,31735047450295,"""Here's How it Works - From Official United States Government Documents"" Booklet",,,,University of Pittsburgh,37,12,text,archival document
466,31735066228192,"""Program of the Communist International"",",,1929-12,,University of Pittsburgh,3,150,text,archival document
467,31735061656538,"""Address of Dr. Harry F. Ward American Congress for Peace and Democracy"",",,1939-01-07,,University of Pittsburgh,1,143,text,archival document
468,31735061540211,"""A Churchman Examines American-Soviet Relations"", By Rev. William Howard Melish",,,,University of Pittsburgh,7,99,text,archival document
469,31735061538009,"Organize the Unorganized, By William Z. Foster",,,,University of Pittsburgh,6,39,text,archival document
470,31735061544841,"""Washington Action Rally"" Flyer,",,1962,,University of Pittsburgh,11,165,text,archival document
471,31735061543777,Flyer Encouraging People to Vote for the Progressive Party,,,,University of Pittsburgh,10,35,text,archival document
472,31735047451509,"Educational Conference on Safe Energy & Jobs Mailing,",,,,University of Pittsburgh,,159,text,archival document
473,31735061659326,"""Draft Resolution for the 16th National Convention of the Communist Party, U.S.A."", Adopted Sept. 13, 1956",,1956-09,,University of Pittsburgh,4,34,text,archival document
474,31735065150223,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1959-05,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
475,31735061658922,"""The Struggle for Detente"", By Gus Hall",,,,University of Pittsburgh,4,44,text,archival document
476,31735060482472,Protester on Car,,,,University of Pittsburgh,12,43,still image,archival document
477,31735047450535,Philco Company Boycott Flyer,,,,University of Pittsburgh,37,47,text,archival document
478,31735061538454,"""The Truth About Jerry Brown"" Pamphlet",,,,University of Pittsburgh,11,99,text,archival document
479,31735066229034,"""1963 Easter Peace Walk Itinerary"" Flyer,",,1963,,University of Pittsburgh,11,186,text,archival document
480,31735061656165,The General Policy Statement and Labor Program of the League of Revolutionary Black Workers,,,,University of Pittsburgh,1,86,text,archival document
481,31735059397152,"""Manifesto of the Fourth International on The Imperialist War and the Proletarian Revolution"" Pamphlet,",,1940,,University of Pittsburgh,11,91,text,archival document
482,31735059397335,"""Call to Public Vigil and Witness"" Flyer,",,1965-11,,University of Pittsburgh,7,133,text,archival document
483,31735070075126,"Political action; Political action (Milwaukee, Wis.)",,,1912-03-23,University of Pittsburgh,,,text; text,newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers; newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers
484,31735070075340,"Political action; Political action (Milwaukee, Wis.)",,,1912-09-14,University of Pittsburgh,,,text; text,newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers; newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers
485,31735066228101,"""Make the Democrats Keep Their Promises"",",,1933-06,,University of Pittsburgh,3,45,text,archival document
486,31735047451400,"""Labor Groups Stress Energy Alternatives at Harrisburg Rally"" Article,",,,,University of Pittsburgh,,149,text,archival document
487,31735065150777,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1954-07-05,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
488,31735061656298,Me Rum Pamphlet,,,,University of Pittsburgh,1,90,text,archival document
489,31735066228366,"The History of the Shorter Workday,",,1942,,University of Pittsburgh,6,28,text,archival document
490,31735060482126,"""Guilty of Being a Negro""",,,,University of Pittsburgh,13,17,text,archival document
491,31735066228226,"""On the Road to Bolshevization"",",,1929,,University of Pittsburgh,4,24,text,archival document
492,31735047451541,"""Indroducing Color Adjusment"" Mail Order,",,1991/1992,,University of Pittsburgh,37,168,text,archival document
493,31735058194071,"""Defend Academic Freedom! A Statement on Academic Freedom Week by the Labor Youth League"" Pamphlet,",,1955,,University of Pittsburgh,2,120,text,archival document
494,31735051655128,The People Will Make the Peace,,,,University of Pittsburgh,14,86,text,archival document
495,31735061544809,"""USA! USSR! NO!"" Flyer,",,1962,,University of Pittsburgh,11,166,text,archival document
496,31735061544056,"""Economic Basis of Education"", By Aaron M. Orange,",,1942,,University of Pittsburgh,10,47,text,archival document
497,31735047448562,"Fraternal Outlook, Official Organ of the International Workers Order,",,1941-11,,University of Pittsburgh,5,20,text,archival document
498,31735061539288,"""The Truth About Korea""",,,,University of Pittsburgh,7,80,text,archival document
499,31735067913099,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1965-03,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
500,31735061538041,"Stop Wage-Cuts & Layoffs on the Railroads, A Reply to President T.C. Cashen of the Switchmen's Union of North America, By William Z. Foster,",,1938-04,,University of Pittsburgh,6,38,text,archival document
501,31735059397012,"""The Voice of Socialism: Radio Speeches by the Socialist Workers Party Candidates in the 1948 Election"" Pamphlet,",,1948-08,,University of Pittsburgh,11,90,text,archival document
502,31735061537290,"""21 Questions About War and Peace"", By Eugene Dennis,",,1950-08,,University of Pittsburgh,4,62,text,archival document
503,31735061656025,"Negro Freedom is in the Interest of Every American, by Gus Hall,",,1964-07,,University of Pittsburgh,1,45,text,archival document
504,31735061544502,"""Don't Forget the Motor City""",,,,University of Pittsburgh,11,127,text,archival document
505,31735047449099,"Brown Lung Association Letter,",,1980,,University of Pittsburgh,37,18,text,archival document
506,31735058193875,"Alternative, V1, N3,",,1948-06,,University of Pittsburgh,1,123,text,archival document
507,31735061657445,"The McCarran Act, Fact and Fancy, by Elizabeth Gurley Flynn",,,,University of Pittsburgh,2,83,text,archival document
508,31735061539312,"""Speech by Harold L. Ickes Secretary of the Interior To the 2nd American Slav Congress"",",,1944,,University of Pittsburgh,7,51,text,archival document
509,31735068354871,"Union; Sindicato; Mine-mill union; Union (Denver, Colo. : 1942)",,,1952-05-05,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals
510,31735065150363,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1957-06,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
511,31735047448869,"Michigan State University Faculty Associates (MSUFA),",,1980,,University of Pittsburgh,37,52,text,archival document
512,31735066228515,"Numerous Issues of Labor and Socialist Press Service,",,1936,,University of Pittsburgh,10,124,text,archival document
513,31735061543637,"""Economic Evolution"", By Paul Lafargue",,,,University of Pittsburgh,10,88,text,archival document
514,31735061539528,"""The Epic of the Black Sea Revolt"", By Andre Marty,",,1941-03,,University of Pittsburgh,7,67,text,archival document
515,31735061538587,"""A Worker for President, Vote Socialist Workers"" Flyer",,,,University of Pittsburgh,11,96,text,archival document
516,31735061537530,"""The Communists Take a New Look"", Report to the National Committee of the Communist Party, U.S.A., By Eugene Dennis,",,1956-05,,University of Pittsburgh,4,58,text,archival document
517,31735066249115,"Partisan Review, Vol. 2 No. 8,",,,,University of Pittsburgh,25,6,text,archival document
518,31735047451087,"""Sing Out! UE Songs for Union Folks...""",,,,University of Pittsburgh,,111,text,archival document
519,31735061537399,"Mass Picketing Demonstration Before the P.L. Bergoff Offices,",,1934-07-19,,University of Pittsburgh,4,157,still image,archival document
520,31735070075308,"Political action; Political action (Milwaukee, Wis.)",,,1912-08-07,University of Pittsburgh,,,text; text,newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers; newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers
521,31735061544338,"""An Open Letter to Progressives"", By Norman Thomas,",,1928,,University of Pittsburgh,10,114,text,archival document
522,31735061540351,"""On University Neutrality""",,1970-05,,University of Pittsburgh,7,128,text,archival document
523,31735066227756,"Some Aspects of the Negro Question in the United States, by James E. Jackson,",,1959-07,,University of Pittsburgh,1,42,text,archival document
524,31735061656785,Bring Them Home Now!,,,,University of Pittsburgh,12,59,text,archival document
525,31735068353428,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1961-02,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
526,31735061541003,"""The Crisis in the Communist Party, U.S.A"", Statement of the Principles of the Communist Party (Majority Group),",,1930-02,,University of Pittsburgh,10,2,text,archival document
527,31735058194261,"""Return to Fort Dix May 16 -- Armed Forces Day"" Flyer,",,1970-05,,University of Pittsburgh,12,37,text,archival document
528,31735066228036,"""An Open Letter to the American People""",,,,University of Pittsburgh,2,79,text,archival document
529,31735061659318,"""Youth Demands a Peaceful World"", Report of the Second World Youth Congress",,,,University of Pittsburgh,4,7,text,archival document
530,31735061538868,"The New International, A Monthly Organ of Revolutionary Marxism,",,1934-12,,University of Pittsburgh,14,72,text,archival document
531,31735058194006,"The Irregular N. 6,",,1966-03-19,,University of Pittsburgh,11,134,text,archival document
532,31735061544247,"""Peace Marchers Are Back"" Flyer",,,,University of Pittsburgh,11,184,text,archival document
533,31735065151221,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1954-04-26,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
534,31735067913289,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1966-03,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
535,31735061539098,"Soviet Impressions, After an Interval of Eighteen Years, 1932-1950, By Dr. John A. Kingsbury",,,,University of Pittsburgh,7,3,text,archival document
536,31735047448984,"""The Rights We Fight For"",",,1944,,University of Pittsburgh,37,58,text,archival document
537,31735061659920,"""Illinois Needs a Farmer- Labor Party"", By Morris H. Childs",,,,University of Pittsburgh,3,61,text,archival document
538,31735059397756,"Cooley High Black Student Voice,",,1970-11-05,,University of Pittsburgh,1,107,text,archival document
539,31735061537944,"Program for Survival , The Communist Position on the Jewish Question, By Alexander Bittelman",,,,University of Pittsburgh,5,75,text,archival document
540,31735047450402,"Citizen/Labor Energy Coalition Natural Gas Price Decontrol Fact Sheet,",,1981-03,,University of Pittsburgh,37,32,text,archival document
541,31735066228705,"""Marx and America"" by Bertram Wolfe,",,1934,,University of Pittsburgh,10,1,text,archival document
542,31735061655753,The Shadow of the South is On Our Shops! Pamphlet,,,,University of Pittsburgh,1,71,text,archival document
543,31735065150173,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1959-08,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
544,31735061658815,"""The Working Class and the Nation"" and ""Changes in Bourgeois Nationalism"", By Peter Weiden,",,,,University of Pittsburgh,3,133,text,archival document
545,31735067913313,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1967-01,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
546,31735065150314,Mine-Mill union; Mine Mill union; Sindicato; Union,,,1957-02,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals; Periodicals
547,31735068354806,"Union; Sindicato; Mine-mill union; Union (Denver, Colo. : 1942)",,,1952-08-11,"International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers; International Union of Mine, Mill, and Smelter Workers.; University of Pittsburgh",,,text; text,periodical; Periodicals.; Periodicals; Periodicals; Periodicals; periodical; Periodicals.; Periodicals; Periodicals; Periodicals
548,31735047449420,"Harrisburg Anti-Nuclear Demonstration Letter,",,,,University of Pittsburgh,,145,text,archival document
549,31735061658484,"""The C.I.O. Today"", By George Morris,",,1950-03,,University of Pittsburgh,3,125,text,archival document
550,31735061537720,"A Communist Rioter Getting Chased by a Police Officer,",,1931-02-11,,University of Pittsburgh,4,149,still image,archival document
551,31735066228358,"Women in the Struggle for Peace and Security, By Claudia Jones,",,1950-04,,University of Pittsburgh,6,12,text,archival document
552,31735060482118,Consumer Party 1980 Campaign Flyer,,,,University of Pittsburgh,1,204,text,archival document
553,31735047450238,"Union Book Club Flyer,",,,,University of Pittsburgh,37,6,text,archival document
